date,adjclose
2019-12-16,58.205
2019-12-13,57.79
2019-12-12,57.55
2019-12-11,57.07
2019-12-10,56.59
2019-12-09,56.53
2019-12-06,56.81
2019-12-05,56.08
2019-12-04,56.02
2019-12-03,56.07
2019-12-02,57.66
2019-11-29,58.05
2019-11-27,58.51
2019-11-26,58.90
2019-11-25,58.81
2019-11-22,57.61
2019-11-21,58.22
2019-11-20,57.90
2019-11-19,58.35
2019-11-18,58.25
2019-11-15,57.96
2019-11-14,57.81
2019-11-13,57.89
2019-11-12,58.20
2019-11-11,58.35
2019-11-08,58.27
2019-11-07,58.05
2019-11-06,57.60
2019-11-05,57.235
2019-11-04,57.2946
2019-11-01,56.2007
2019-10-31,56.2206
2019-10-30,56.2902
2019-10-29,56.0316
2019-10-28,56.4493
2019-10-25,56.1509
2019-10-24,51.9441
2019-10-23,51.4369
2019-10-22,51.7253
2019-10-21,51.8446
2019-10-18,51.0789
2019-10-17,51.5761
2019-10-16,52.1579
2019-10-15,52.3618
2019-10-14,51.3573
2019-10-11,51.8049
2019-10-10,50.8302
2019-10-09,50.2037
2019-10-08,49.4528
2019-10-07,50.3429
2019-10-04,50.6413
2019-10-03,49.7561
2019-10-02,49.1196
2019-10-01,50.4821
2019-09-30,51.2479
2019-09-27,50.502
2019-09-26,50.6413
2019-09-25,50.7407
2019-09-24,49.5473
2019-09-23,50.6214
2019-09-20,50.4424
2019-09-19,51.2877
2019-09-18,51.4568
2019-09-17,51.6656
2019-09-16,51.9143
2019-09-13,52.2524
2019-09-12,52.7198
2019-09-11,52.501
2019-09-10,51.5363
2019-09-09,51.3076
2019-09-06,50.6413
2019-09-05,49.8258
2019-09-04,48.6522
2019-09-03,46.7228
2019-08-30,47.1505
2019-08-29,46.6134
2019-08-28,45.5393
2019-08-27,45.5393
2019-08-26,45.3106
2019-08-23,44.7139
2019-08-22,46.5239
2019-08-21,46.8919
2019-08-20,46.3449
2019-08-19,46.9715
2019-08-16,46.2455
2019-08-15,45.4498
2019-08-14,45.6189
2019-08-13,46.5836
2019-08-12,45.3504
2019-08-09,45.7283
2019-08-08,46.9118
2019-08-07,46.4742
2019-08-06,46.7029
2019-08-05,46.3996
2019-08-02,48.0889
2019-08-01,48.8989
2019-07-31,49.9362
2019-07-30,51.0722
2019-07-29,51.8724
2019-07-26,50.9635
2019-07-25,51.5266
2019-07-24,52.2774
2019-07-23,51.1216
2019-07-22,50.7264
2019-07-19,49.6596
2019-07-18,49.3336
2019-07-17,48.7902
2019-07-16,48.5729
2019-07-15,49.5114
2019-07-12,49.3138
2019-07-11,48.0098
2019-07-10,47.6246
2019-07-09,47.1702
2019-07-08,47.2393
2019-07-05,47.4962
2019-07-03,47.9308
2019-07-02,47.5357
2019-07-01,47.4665
2019-06-28,47.2887
2019-06-27,46.8837
2019-06-26,47.6048
2019-06-25,46.2811
2019-06-24,47.0516
2019-06-21,46.8837
2019-06-20,46.617
2019-06-19,46.4984
2019-06-18,46.7948
2019-06-17,45.5698
2019-06-14,45.6291
2019-06-13,46.1329
2019-06-12,45.7575
2019-06-11,46.2811
2019-06-10,46.2317
2019-06-07,45.471
2019-06-06,44.5523
2019-06-05,44.009
2019-06-04,44.2461
2019-06-03,42.9323
2019-05-31,43.5052
2019-05-30,44.1868
2019-05-29,43.6929
2019-05-28,43.0409
2019-05-24,44.0288
2019-05-23,43.9893
2019-05-22,43.4657
2019-05-21,43.9201
2019-05-20,43.031
2019-05-17,44.3449
2019-05-16,44.9771
2019-05-15,45.066
2019-05-14,44.6215
2019-05-13,44.2165
2019-05-10,45.639
2019-05-09,46.0539
2019-05-08,48.6421
2019-05-07,49.867
2019-05-06,50.598
2019-05-03,50.8104
2019-05-02,49.6322
2019-05-01,49.8384
2019-04-30,50.1133
2019-04-29,50.182
2019-04-26,51.4781
2019-04-25,56.564
2019-04-24,57.6539
2019-04-23,57.7128
2019-04-22,57.752
2019-04-18,57.428
2019-04-17,57.4968
2019-04-16,55.6804
2019-04-15,55.2582
2019-04-12,55.3956
2019-04-11,54.7869
2019-04-10,54.7378
2019-04-09,54.3156
2019-04-08,54.6691
2019-04-05,54.5905
2019-04-04,54.9047
2019-04-03,54.4727
2019-04-02,53.373
2019-04-01,53.5203
2019-03-29,52.725
2019-03-28,52.1457
2019-03-27,52.1948
2019-03-26,52.4697
2019-03-25,51.8217
2019-03-22,52.293
2019-03-21,53.6479
2019-03-20,52.8428
2019-03-19,53.1865
2019-03-18,53.1177
2019-03-15,53.3436
2019-03-14,52.4697
2019-03-13,53.3828
2019-03-12,52.5974
2019-03-11,52.3814
2019-03-08,51.5272
2019-03-07,51.645
2019-03-06,51.9886
2019-03-05,52.7054
2019-03-04,52.9606
2019-03-01,52.3323
2019-02-28,51.9984
2019-02-27,52.2734
2019-02-26,52.2635
2019-02-25,52.1359
2019-02-22,51.537
2019-02-21,50.4766
2019-02-20,50.4569
2019-02-19,50.4668
2019-02-15,50.722
2019-02-14,49.8875
2019-02-13,49.5536
2019-02-12,49.102
2019-02-11,47.8845
2019-02-08,47.9532
2019-02-07,48.3362
2019-02-06,48.994
2019-02-05,48.7927
2019-02-04,48.0219
2019-02-01,47.5439
2019-01-31,45.9731
2019-01-30,46.3828
2019-01-29,45.4072
2019-01-28,45.573
2019-01-25,45.895
2019-01-24,48.5488
2019-01-23,46.7731
2019-01-22,47.0951
2019-01-18,47.9927
2019-01-17,47.2902
2019-01-16,46.9585
2019-01-15,47.417
2019-01-14,47.1731
2019-01-11,47.739
2019-01-10,47.378
2019-01-09,46.8414
2019-01-08,46.578
2019-01-07,46.2853
2019-01-04,46.0706
2019-01-03,43.4071
2019-01-02,45.934
2018-12-31,45.7877
2018-12-28,45.6121
2018-12-27,45.2316
2018-12-26,45.0657
2018-12-24,42.529
2018-12-21,43.7485
2018-12-20,44.4315
2018-12-19,44.4608
2018-12-18,46.578
2018-12-17,45.934
