資料日期,現金
20191217,29.76000
20191216,29.82000
20191213,29.91000
20191212,29.95000
20191211,30.07500
20191210,30.07000
20191209,30.08000
20191206,30.08500
20191205,30.07000
20191204,30.10000
20191203,30.09500
20191202,30.09500
20191129,30.10000
20191128,30.09000
20191127,30.10000
20191126,30.11000
20191125,30.10000
20191122,30.11000
20191121,30.11500
20191120,30.08000
20191119,30.10000
20191118,30.09000
20191115,30.11500
20191114,30.16000
20191113,30.10000
20191112,30.01500
20191111,30.01500
20191108,29.99500
20191107,29.97500
20191106,29.99500
20191105,29.94500
20191104,29.98500
20191101,30.07000
20191031,30.04000
20191030,30.10000
20191029,30.10500
20191028,30.17000
20191025,30.17000
20191024,30.17500
20191023,30.19000
20191022,30.17500
20191021,30.17500
20191018,30.20500
20191017,30.26000
20191016,30.31000
20191015,30.27000
20191014,30.20000
20191009,30.43500
20191008,30.42500
20191007,30.48500
20191005,30.54000
20191004,30.55500
20191003,30.65000
20191002,30.65500
20191001,30.63500
20190930,30.64000
20190927,30.62000
20190926,30.61500
20190925,30.62000
20190924,30.59500
20190923,30.61500
20190920,30.56000
20190919,30.59500
20190918,30.57500
20190917,30.62000
20190916,30.57000
20190912,30.63500
20190911,30.80500
20190910,30.81500
20190909,30.84500
20190906,30.84500
20190905,30.87000
20190904,30.95000
20190903,31.02000
20190902,30.97500
20190830,30.99000
20190829,31.02500
20190828,31.01500
20190827,31.00000
20190826,31.01000
20190823,30.97500
20190822,30.97500
20190821,30.96000
20190820,30.99500
20190819,30.94000
20190816,30.96000
20190815,30.96500
20190814,31.00000
20190813,31.10000
20190812,31.00000
20190809,30.95000
20190808,30.95500
20190807,31.06500
20190806,31.09000
20190805,31.21500
20190802,30.97500
20190801,30.77000
20190731,30.69000
20190730,30.66000
20190729,30.69500
20190726,30.68000
20190725,30.67000
20190724,30.68000
20190723,30.67500
20190722,30.67500
20190719,30.64000
20190718,30.66500
20190717,30.67000
20190716,30.63000
20190715,30.64000
20190712,30.67000
20190711,30.62000
20190710,30.73500
20190709,30.76500
20190708,30.77500
20190705,30.69500
20190704,30.68000
20190703,30.71500
20190702,30.64500
20190701,30.58000
20190628,30.66000
20190627,30.68000
20190626,30.73000
20190625,30.67500
20190624,30.69500
20190621,30.70500
20190620,30.75000
20190619,30.94500
20190618,31.12000
